Facility ID,Name,Category,Description,Street Address,City,Postal Code,Latitude,Longitude,Status,Contact Phone,Manager,Rating
1,Eco-business 1,Recycling Bin,This is a e-bike station located at Main St,718 Market St,Kano,67978,-0.09385,7.806846,Operational,+234-710-1203,EcoSave Corp.,3.6
2,EV Charging Station 2,Solar Panel Station,This is a eco-business located at Market St,158 Highland Ave,Ibadan,30034,2.133559,4.227849,Operational,+234-779-8592,Eco Future Inc.,4.4
3,Eco-business 3,EV Charging Station,This is a e-bike station located at Broadway,393 Sunset Blvd,Ibadan,90000,3.143006,5.469534,Under Maintenance,+234-891-4893,EcoSave Corp.,3.3
4,Eco-business 4,Eco-business,This is a recycling bin located at Main St,363 Highland Ave,Port Harcourt,89223,3.899051,3.814235,Operational,+234-881-2868,GreenTech Co.,4.5
5,EV Charging Station 5,E-bike Station,This is a e-bike station located at Main St,733 Sunset Blvd,Port Harcourt,16417,5.982069,3.05605,Out of Service,+234-723-2374,Green Solutions Ltd.,3.1
6,Recycling Bin 6,Eco-business,This is a ev charging station located at Sunset Blvd,444 Broadway,Kano,21429,5.602634,7.245317,Out of Service,+234-725-4997,Eco Future Inc.,4.7
7,Solar Panel Station 7,EV Charging Station,This is a e-bike station located at Sunset Blvd,537 Broadway,Ibadan,51145,1.386755,7.80636,Under Maintenance,+234-703-8025,Sustainability Hub,3.3
8,Solar Panel Station 8,Recycling Bin,This is a e-bike station located at Main St,407 Highland Ave,Kano,21095,3.635267,5.849208,Out of Service,+234-842-9029,GreenTech Co.,3.1
9,E-bike Station 9,EV Charging Station,This is a ev charging station located at Broadway,836 Market St,Kano,35465,0.594863,4.394523,Operational,+234-776-7851,EcoSave Corp.,3.8
10,Eco-business 10,E-bike Station,This is a recycling bin located at Highland Ave,335 Sunset Blvd,Lagos,92059,5.919157,5.427052,Out of Service,+234-787-9805,Sustainability Hub,4.0
11,Solar Panel Station 11,E-bike Station,This is a eco-business located at Broadway,286 Broadway,Lagos,65588,-1.048994,3.639057,Operational,+234-884-5887,EcoSave Corp.,3.6
12,E-bike Station 12,Recycling Bin,This is a eco-business located at Main St,127 Broadway,Port Harcourt,32625,3.305515,7.863745,Out of Service,+234-888-9853,GreenTech Co.,4.0
13,Solar Panel Station 13,Solar Panel Station,This is a eco-business located at Main St,311 Highland Ave,Abuja,42052,3.656453,4.850709,Out of Service,+234-781-1046,EcoSave Corp.,4.0
14,Solar Panel Station 14,Eco-business,This is a e-bike station located at Market St,805 Market St,Ibadan,33222,-0.666326,5.701297,Under Maintenance,+234-789-8977,Green Solutions Ltd.,3.7
15,Solar Panel Station 15,Recycling Bin,This is a solar panel station located at Broadway,497 Highland Ave,Lagos,89780,2.62912,6.989425,Under Maintenance,+234-700-5934,EcoSave Corp.,3.7
16,Eco-business 16,Eco-business,This is a recycling bin located at Market St,579 Broadway,Abuja,79631,4.609415,3.310769,Under Maintenance,+234-781-4306,Green Solutions Ltd.,3.1
17,Eco-business 17,Solar Panel Station,This is a e-bike station located at Main St,499 Market St,Lagos,38541,0.530467,4.589592,Under Maintenance,+234-757-7235,EcoSave Corp.,4.7
18,Solar Panel Station 18,Recycling Bin,This is a ev charging station located at Highland Ave,335 Broadway,Port Harcourt,96109,-1.34551,4.646928,Under Maintenance,+234-758-2955,Green Solutions Ltd.,4.6
19,EV Charging Station 19,Eco-business,This is a eco-business located at Broadway,203 Sunset Blvd,Kano,48817,4.86847,3.326179,Under Maintenance,+234-898-8777,Green Solutions Ltd.,3.3
20,Solar Panel Station 20,Eco-business,This is a solar panel station located at Main St,716 Broadway,Abuja,47803,0.954947,5.831629,Operational,+234-789-1925,EcoSave Corp.,4.9
